ID_SAS;MID_X;MID_Y;OUT_X;OUT_Y;IDNAME_SAS;NombreDane;CodigoDane
1;7746.132813;9050;7296.132813;9050;Amazonas;Amazonas;91
2;7025.214844;10425.52344;6695;10790;Antioquia;Antioquia;05
3;7805.585938;10425.39844;8065;10530;Arauca;Arauca;81
4;7076.070313;11188.42969;6900;11215;Atlantico;Atlántico;8
15;7240;10000.5625;6450;10145;Distrito Especial;Bogotá, D. C.;11
5;7200;10800.64844;7475;10915;Bolivar;Bolívar;13
6;7400.019531;10210.28906;7650;10565;Boyaca;Boyacá;15
7;7046.152344;10175;6475;10325;Caldas;Caldas;17
8;7300.515625;9425.4375;7050.515625;9150.4375;Caqueta;Caquetá;18
9;7700;10200;8125;10440;Casanare;Casanare;85
10;6765.714844;9650.796875;6500;9775;Cauca;Cauca;19
11;7336.289063;10904.57813;7550;11015;Cesar;Cesar;20
12;6750.4375;10325;6500;10425;Choco;Chocó;27
13;6950;10705.33594;6775;10875;Cordoba;Córdoba;23
14;7250.503906;10135;6575;10620;Cundinamarca;Cundinamarca;25
16;8100.296875;9725.359375;8450.296875;9825.359375;Guainia;Guainía;94
17;7035.5625;9750.835938;6525;9350;Huila;Huila;41
18;7525;11350;7600;11300;La Guajira;La Guajira;44
19;7206.109375;11068.08594;6860;11075;Magdalena;Magdalena;47
20;7465.261719;9850;8415.257813;10050;Meta;Meta;50
21;6619.792969;9511.546875;6425;9600;Narino;Nariño;52
22;7450;10650;7600;10765;Norte de Santander;Norte de Santander;54
23;6977.148438;9327.296875;6925;9250;Putumayo;Putumayo;86
24;6990;10025;6450;10050;Quindio;Quindío;63
25;6925;10155;6450;10235;Risaralda;Risaralda;66
26;7356.738281;10413.72656;7625;10665;Santander;Santander;68
27;7075;10825.07813;6820;10965;Sucre;Sucre;70
28;7060.195313;9975;6475;9950;Tolima;Tolima;73
29;6850;9900;6490;9860;Valle del Cauca;Valle del Cauca;76
30;7700.125;9550.335938;8125.125;9525.335938;Vaupes;Vaupés;97
31;8067.863281;10070;8437.851563;10245;Vichada;Vichada;99
